id;start_date;end_date;language
1;2021-07-04T15:04:55;2021-07-04T12:55:10;ENGLISH
2;2021-07-04T00:32:30;2021-07-04T09:57:59;FRENCH
3;2021-07-04T10:28:42;2021-07-03T22:33:50;SPANISH
4;2021-07-04T14:59:31;2021-07-03T20:25:50;FRENCH
5;2021-07-04T17:15:54;2021-07-04T01:34:52;ENGLISH
6;2021-07-04T02:46:37;2021-07-04T16:46:57;SPANISH
7;2021-07-04T10:50:25;2021-07-03T21:24:34;FRENCH
8;2021-07-04T01:16:18;2021-07-03T21:52:07;FRENCH
9;2021-07-04T02:07:56;2021-07-04T13:39:22;FRENCH
10;2021-07-03T22:04:54;2021-07-04T15:02:23;FRENCH
